date,bitcoin,ethereum,cardano,doge,bcash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
8/6/2020,11779.77344,394.961945,0.144048,0.00356,308.760315,0.106432,10.140255,22.707661,59.164265,95.61097,0.259182,1.000175,297.915985,80.519997,453.420013,48.57,86.709999,111.059998
8/7/2020,11601.47266,379.512848,0.139155,0.003533,303.458588,0.103121,10.063365,22.311546,57.245533,94.103424,0.253117,1.002846,290.541992,80.029999,447.980011,48.029999,84.849998,108.25
8/10/2020,11878.11133,395.887573,0.143855,0.003499,302.585541,0.105994,13.441035,22.613796,58.288845,93.755051,0.286569,1.001059,283.713989,79.870003,446.600006,49.220001,82.239998,106.360001
8/11/2020,11410.52539,380.384064,0.137436,0.003394,282.946259,0.100932,13.10599,21.256945,54.386845,87.458679,0.261731,1.003691,274.877991,77.940002,434,48.189999,76.879997,108.830002
8/12/2020,11584.93457,391.02417,0.137398,0.003484,287.606781,0.102179,16.621544,21.75145,54.968586,90.294518,0.271726,1.013791,310.951996,79.389999,457.609985,49.189999,82.610001,115.790001
8/13/2020,11784.1377,428.741791,0.141245,0.003517,299.516388,0.102137,17.326002,22.075544,57.741318,92.792824,0.269549,1.02021,324.200012,78.300003,457.720001,48.560001,81.839996,113.410004
8/14/2020,11768.87109,437.397827,0.138338,0.003561,293.398041,0.104972,16.926432,23.069792,56.753124,91.438103,0.277754,1.001024,330.141998,78.410004,462.559998,48.889999,81.300003,113.739998
8/17/2020,12254.40234,429.53125,0.14092,0.003591,317.298767,0.113654,16.705545,23.510103,67.028038,93.359146,0.317203,1.000111,367.127991,80.190002,493.480011,48.93,82.419998,112.18
8/18/2020,11991.2334,423.669312,0.137427,0.003514,304.174988,0.10877,16.241375,23.067181,65.527534,93.520096,0.350865,1.00272,377.417999,79.410004,490.429993,48.650002,81.660004,112.029999
8/19/2020,11758.2832,406.463776,0.129275,0.003424,292.698578,0.102548,16.239985,22.310396,62.004627,91.277451,0.317926,1.002408,375.705994,78.540001,485.540009,48.330002,81.089996,111.040001
8/20/2020,11878.37207,416.439789,0.133642,0.003459,294.791626,0.107175,16.091297,23.092575,62.966755,101.311401,0.360405,1.000409,400.365997,76.809998,485.640015,49.169998,82.769997,110.660004
8/21/2020,11592.48926,389.126343,0.12376,0.003393,284.298248,0.100438,13.800856,22.128994,59.379021,92.569595,0.379275,1.004549,409.996002,78.339996,507.339996,49.279999,83.809998,113
8/24/2020,11774.5957,408.144196,0.124488,0.003418,291.325958,0.103502,15.18336,22.605852,62.199425,93.93988,0.397094,1.001976,402.839996,78.900002,508.809998,49.139999,83.080002,115.910004
8/25/2020,11366.13477,384.001038,0.113292,0.003305,276.799194,0.098112,14.216811,21.475367,58.580666,88.828781,0.347798,1.002365,404.667999,80.040001,510,49.43,86.349998,115.949997
8/26/2020,11488.36328,386.466125,0.115285,0.003303,275.571014,0.098418,15.251755,22.277306,58.358173,89.123993,0.352113,1.001853,430.634003,81.75,510.920013,49.549999,86.019997,116.040001
