Date,TWH
2015-02-19,2.1081
2015-02-20,2.13141
2015-02-21,2.09644
2015-02-22,2.1184
2015-02-23,2.10309
2015-02-24,2.07679
2015-02-25,2.07674
2015-02-26,2.06027
2015-02-27,2.06342
2015-02-28,2.07725
2015-03-01,2.06893
2015-03-02,2.10158
2015-03-03,2.16075
2015-03-04,2.12198
2015-03-05,2.08525
2015-03-06,2.07709
2015-03-07,2.07301
2015-03-08,2.10683
2015-03-09,2.08294
2015-03-10,2.07563
2015-03-11,2.1092
2015-03-12,2.11142
2015-03-13,2.11208
2015-03-14,2.09797
2015-03-15,2.07492
2015-03-16,2.06456
2015-03-17,2.01481
2015-03-18,2.01273
2015-03-19,2.02517
2015-03-20,2.00444
2015-03-21,2.0459
2015-03-22,2.04361
2015-03-23,2.05155
2015-03-24,2.13946
2015-03-25,2.15309
2015-03-26,2.17129
2015-03-27,2.23854
2015-03-28,2.22773
2015-03-29,2.246
2015-03-30,2.23987
2015-03-31,2.19291
2015-04-01,2.13166
2015-04-02,2.16841
2015-04-03,2.11736
2015-04-04,2.12757
2015-04-05,2.13263
2015-04-06,2.11499
2015-04-07,2.1372
2015-04-08,2.13781
2015-04-09,2.0863
2015-04-10,2.11668
2015-04-11,2.10683
2015-04-12,2.06599
2015-04-13,2.13083
2015-04-14,2.12434
2015-04-15,2.11786
2015-04-16,2.12866
2015-04-17,2.07248
2015-04-18,2.08544
2015-04-19,2.11817
2015-04-20,2.10149
2015-04-21,2.09786
2015-04-22,2.1505
2015-04-23,2.12278
2015-04-24,2.10851
2015-04-25,2.13217
2015-04-26,2.12246
2015-04-27,2.08709
2015-04-28,2.08709
2015-04-29,2.03507
2015-04-30,2.04339
2015-05-01,2.09333
2015-05-02,2.06004
2015-05-03,2.05385
2015-05-04,2.03531
2015-05-05,2.03761
2015-05-06,2.10859
2015-05-07,2.12336
2015-05-08,2.12774
2015-05-09,2.09047
2015-05-10,2.06562
2015-05-11,2.12809
2015-05-12,2.11976
2015-05-13,2.12184
2015-05-14,2.14891
2015-05-15,2.14267
2015-05-16,2.14891
2015-05-17,2.241
2015-05-18,2.21917
2015-05-19,2.18414
2015-05-20,2.15612
2015-05-21,2.16609
2015-05-22,2.15437
2015-05-23,2.11842
2015-05-24,2.06916
2015-05-25,2.06276
2015-05-26,2.09263
2015-05-27,2.0777
2015-05-28,2.02863
2015-05-29,2.06276
2015-05-30,2.11396
2015-05-31,2.1162
2015-06-01,2.08998
2015-06-02,2.09479
2015-06-03,2.09577
2015-06-04,2.10746
2015-06-05,2.06598
2015-06-06,2.1461
2015-06-07,2.14233
2015-06-08,2.19432
2015-06-09,2.1964
2015-06-10,2.25256
2015-06-11,2.24008
2015-06-12,2.2484
2015-06-13,2.20888
2015-06-14,2.21719
2015-06-15,2.20338
2015-06-16,2.14559
2015-06-17,2.13723
2015-06-18,2.19525
2015-06-19,2.21916
2015-06-20,2.17947
2015-06-21,2.13057
2015-06-22,2.15011
2015-06-23,2.19789
2015-06-24,2.19355
2015-06-25,2.18486
2015-06-26,2.20007
