date,bitcoin,doge,stellar,little,monero,tether,tesla,tsmc,nvidia,intel,amd,qualcom
8/25/2015,221.608994,0.000129,0.001855,2.9372,0.490286,1,44.006001,18.76,20.280001,25.870001,1.66,53.880001
8/26/2015,225.830994,0.000133,0.002035,2.94651,0.496679,1,44.967999,19.450001,21.809999,27.299999,1.72,56.66
8/27/2015,224.768997,0.000129,0.002005,2.86605,0.465475,1,48.598,19.940001,22.629999,27.719999,1.78,57.360001
8/28/2015,231.395996,0.000132,0.002354,2.90629,0.481627,1,49.695999,20,22.73,28.42,1.85,57.450001
8/31/2015,230.056,0.000129,0.002479,2.84207,0.467238,1,49.812,19.879999,22.48,28.540001,1.81,56.580002
9/1/2015,228.121002,0.000127,0.002435,2.82001,0.458517,1,47.726002,19.41,21.559999,27.82,1.71,55.02
9/2/2015,229.283997,0.000126,0.002423,2.79545,0.468083,1,49.537998,19.940001,22.209999,28.6,1.77,55.860001
9/3/2015,227.182999,0.000122,0.002377,2.63314,0.45929,1,49.113998,20.07,22.27,29.08,1.79,55.549999
9/4/2015,230.298004,0.000125,0.002321,2.70112,0.467874,1,48.386002,19.67,21.75,28.52,1.82,54.290001
9/8/2015,243.606995,0.000131,0.0023,3.04738,0.517402,1,49.633999,20.049999,22.68,29.5,1.88,55.200001
9/9/2015,238.167999,0.00013,0.002195,2.92392,0.506011,1,49.782001,19.879999,22.23,29.24,1.85,54.32
9/10/2015,238.477005,0.000129,0.002208,2.94936,0.497247,1,49.695999,19.700001,22.58,29.27,1.84,55.330002
9/11/2015,240.106995,0.000131,0.002231,2.95746,0.495325,1,50.048,19.9,22.65,29.469999,2.01,54.66
9/14/2015,230.643997,0.000125,0.002139,2.84465,0.482289,1,50.638,20.040001,22.690001,29.389999,1.82,54.310001
9/15/2015,230.304001,0.000126,0.002183,2.82319,0.502379,1,50.714001,20.389999,22.940001,29.73,1.86,54.869999
9/16/2015,229.091003,0.000124,0.002159,2.80298,0.509974,1,52.450001,20.67,23.1,29.77,1.89,55.200001
9/17/2015,229.809998,0.000125,0.002228,2.90637,0.494782,1,52.414001,20.66,23.309999,29.709999,1.89,54.98
9/18/2015,232.975006,0.000127,0.002243,2.95696,0.50044,1,52.124001,20.610001,23.290001,29.02,1.87,54.450001
9/21/2015,227.085007,0.00013,0.002142,2.79913,0.480452,1,52.84,20.530001,23.530001,29.16,1.81,54.389999
9/22/2015,230.617996,0.000126,0.002138,2.84465,0.471829,1,52.188,19.950001,22.889999,28.67,1.73,53.939999
9/23/2015,230.283005,0.000124,0.002082,2.86555,0.464606,1,52.212002,20.01,23,28.74,1.7,53.560001
9/24/2015,234.529007,0.000124,0.002058,2.92998,0.468678,1,52.624001,19.99,23.440001,28.48,1.72,53.27
9/25/2015,235.143997,0.000122,0.002056,2.89286,0.451515,1,51.382,20.049999,23.610001,28.809999,1.71,53.220001
9/28/2015,239.141998,0.000124,0.002091,3.0728,0.448998,1,49.686001,19.629999,23.299999,28.76,1.66,52.540001
9/29/2015,236.686996,0.000121,0.002055,2.96999,0.435817,1,49.330002,19.889999,23.709999,29.24,1.67,52.43
9/30/2015,236.059998,0.000123,0.001985,3.00978,0.399882,1,49.68,20.75,24.65,30.139999,1.72,53.73
10/1/2015,237.548996,0.000122,0.002224,3.00192,0.404696,1,47.976002,20.860001,24.17,30,1.74,53.18
10/2/2015,237.292999,0.000123,0.002076,2.9932,0.409897,1,49.514,20.76,24.799999,30.51,1.83,55.07
10/5/2015,240.382996,0.000117,0.001989,3.01599,0.416151,1,49.23,21.4,25.42,31.209999,1.8,56.23
10/6/2015,246.063004,0.000121,0.002077,3.14593,0.411378,1,48.292,21.23,25.75,31.74,1.83,56.32
10/7/2015,242.968994,0.000121,0.002075,3.05858,0.393186,1,46.391998,21.93,26.02,32.32,1.86,56.610001
10/8/2015,242.304001,0.000119,0.001996,3.06403,0.387872,1,45.344002,22.25,26.17,32.52,1.93,57.66
10/9/2015,243.931,0.000119,0.002121,3.10797,0.397329,1,44.138,21.950001,26.07,32.139999,1.96,57.779999
10/12/2015,245.307999,0.000119,0.002031,3.1372,0.395317,1,43.116001,22.09,26.35,32.209999,1.87,57.790001
10/13/2015,249.507996,0.000121,0.002101,3.17974,0.388015,1,43.849998,21.940001,26.4,32.040001,1.92,57.509998
10/14/2015,251.988998,0.00012,0.001915,3.14418,0.384266,1,43.375999,22.34,27.360001,32.799999,1.95,58.630001
10/15/2015,254.320007,0.00012,0.001934,3.10489,0.390841,1,44.262001,21.950001,27.43,32.75,1.97,59.259998
10/16/2015,262.868988,0.000121,0.001936,3.10735,0.411511,1,45.402,22.16,27.860001,33.040001,1.94,59.91
10/19/2015,263.437012,0.000119,0.001933,3.04797,0.403212,1,45.619999,22.23,27.809999,33.59,2.01,59.099998
10/20/2015,269.463013,0.000118,0.00187,3.0926,0.399646,1,42.605999,22.309999,27.77,33.439999,2.02,59
10/21/2015,266.272003,0.000117,0.001975,3.07515,0.394597,1,42.018002,22.219999,27.41,33.369999,2.1,58.970001
10/22/2015,274.02301,0.000118,0.001957,3.11465,0.403236,1,42.344002,22.51,28.4,34.400002,2.14,60.43
10/23/2015,276.496002,0.000115,0.001956,3.11154,0.393922,1,41.818001,22.469999,28.59,34.900002,2.21,60.73
10/26/2015,285.299988,0.000116,0.00186,3.10443,0.38796,1,43.051998,22.16,28.459999,34.59,2.15,59.209999
10/27/2015,293.787994,0.000118,0.001997,3.09455,0.409574,1,42.07,22.200001,28.440001,34.470001,2.15,59.279999
10/28/2015,304.618011,0.000126,0.00202,3.10077,0.448829,1,42.591999,22.08,28.67,34.709999,2.18,60.27
10/29/2015,313.855011,0.000141,0.002069,3.78221,0.447103,1,42.326,21.82,27.68,34.029999,2.13,60
10/30/2015,328.015015,0.000151,0.002184,4.06168,0.456442,1,41.386002,21.959999,28.370001,33.860001,2.12,59.419998
11/2/2015,361.188995,0.000147,0.00219,4.1649,0.442886,1,42.757999,22.1,28.700001,34.110001,2.19,60.639999
11/3/2015,403.416992,0.000156,0.002189,4.5898,0.442707,1,41.669998,22.77,28.5,34.310001,2.28,60.869999
11/4/2015,411.562988,0.000149,0.00218,4.23022,0.505869,1,46.326,23.549999,28.030001,34.150002,2.2,60.259998
11/5/2015,386.354004,0.000146,0.002012,3.96164,0.43253,1,46.354,22.98,27.709999,34,2.2,51.07
11/6/2015,374.470001,0.000141,0.001917,3.54801,0.439195,1,46.472,22.82,31.549999,33.84,2.15,53.419998
11/9/2015,380.256989,0.000135,0.002033,3.39662,0.472776,1,45.066002,22.959999,31.41,33.349998,2.11,52.939999
11/10/2015,336.819,0.000123,0.002039,3.11515,0.460954,1,43.299999,22.51,30.809999,33.209999,2.02,52.27
11/11/2015,311.084015,0.000125,0.001964,2.96939,0.450299,1,43.816002,22.58,30.51,32.860001,2.07,52.849998
11/12/2015,338.152008,0.00013,0.002124,3.2787,0.443275,1,42.588001,22.24,30.4,32.400002,2,52.580002
11/13/2015,336.752991,0.00013,0.001974,3.22599,0.452619,1,41.438,21.889999,29.799999,32.110001,1.99,51.939999
11/16/2015,330.751007,0.000131,0.001922,3.18945,0.435954,1,42.862,22.35,30.4,32.099998,1.99,52.77
11/17/2015,335.093994,0.000133,0.002015,3.20198,0.428999,1,42.799999,22.52,30.4,32.639999,1.98,52.98
11/18/2015,334.589996,0.000135,0.001909,3.18551,0.415567,1,44.214001,22.52,31.030001,33.16,2.12,48
11/19/2015,326.148987,0.00013,0.00193,3.13361,0.407052,1,44.360001,22.67,31.120001,34.299999,2.14,48.389999
11/20/2015,322.022003,0.000131,0.001895,3.11557,0.389316,1,44.001999,22.83,31.389999,34.66,2.22,49.619999
11/23/2015,323.04599,0.00013,0.0019,3.1241,0.391113,1,43.549999,22.57,30.92,34.48,2.22,48.970001
11/24/2015,320.04599,0.000128,0.001867,3.10783,0.390148,1,43.650002,22.5,31.17,34.360001,2.34,49.41
11/25/2015,328.205994,0.00013,0.001908,3.34444,0.387684,1,45.928001,22.559999,31.129999,34.450001,2.38,49.099998
11/27/2015,358.041992,0.000133,0.001766,3.57861,0.386268,1,46.321999,22.450001,31.389999,34.459999,2.33,48.540001
11/30/2015,377.321014,0.000128,0.001732,3.62122,0.395225,1,46.051998,22.76,31.719999,34.77,2.36,48.790001
12/1/2015,362.488007,0.000127,0.001739,3.4349,0.376028,0.999993,47.438,23.280001,32.75,35.09,2.34,49.299999
12/2/2015,359.187012,0.00013,0.001767,3.34225,0.368688,1,46.397999,23.190001,32.5,34.830002,2.27,51.849998
12/3/2015,361.04599,0.000129,0.001712,3.37749,0.366891,1,46.542,22.93,32.43,34.040001,2.23,51.400002
12/4/2015,363.183014,0.000129,0.00201,3.36181,0.370805,1,46.076,23.309999,33.75,34.939999,2.28,52.34
12/7/2015,395.536011,0.000133,0.001965,3.64514,0.421295,1,46.226002,23.24,33.110001,34.990002,2.36,52.43
12/8/2015,415.562988,0.000136,0.002292,3.68692,0.42936,1.00016,45.344002,23.08,33.560001,34.75,2.39,49.48
12/9/2015,417.562988,0.000142,0.002063,3.66903,0.452073,1.00008,44.903999,22.73,32.709999,34.810001,2.35,48.59
12/10/2015,415.479004,0.000139,0.002026,3.66394,0.431434,1,45.414001,22.65,32.98,34.77,2.45,48.57
12/11/2015,451.937988,0.00015,0.002135,3.83645,0.458294,1,43.403999,22.18,32.490002,34.27,2.36,47.459999
12/14/2015,444.182007,0.000145,0.002002,3.61457,0.534761,1,43.716,22.219999,32.57,34.470001,2.34,46.830002
12/15/2015,465.321014,0.00015,0.00187,3.83377,0.556358,1,44.217999,22.82,32.970001,35.18,2.36,48.02
12/16/2015,454.93399,0.00015,0.001846,3.69892,0.518993,1,46.902,23.16,33.169998,35.299999,2.54,48.07
12/17/2015,456.078003,0.000155,0.001857,3.74,0.501231,1,46.678001,22.959999,32.669998,34.91,2.56,47.540001
12/18/2015,463.615997,0.000155,0.001849,3.75696,0.499438,1,46.091999,22.93,32.139999,33.869999,2.45,47.43
12/21/2015,438.639008,0.000143,0.00178,3.45869,0.488745,0.999864,46.512001,22.950001,32.900002,34.240002,2.53,48.759998
12/22/2015,436.571991,0.000142,0.001728,3.41953,0.480099,0.999801,45.990002,23.059999,32.93,34.73,2.77,49.07
12/23/2015,442.401001,0.000147,0.001742,3.57807,0.482244,1,45.939999,23.08,33.060001,35,2.83,49.040001
12/24/2015,454.984985,0.000147,0.00177,3.644,0.490058,1,46.113998,23.15,33.169998,34.98,2.92,49.549999
12/28/2015,422.278992,0.000139,0.001777,3.46603,0.446928,1,45.790001,23.01,33.139999,34.93,3,49.580002
12/29/2015,432.983002,0.000155,0.001743,3.50026,0.45616,1,47.438,23.08,33.68,35.439999,3,50.880001
12/30/2015,426.619995,0.000153,0.001763,3.45914,0.441028,1,47.618,22.879999,33.389999,34.990002,2.98,50.41
12/31/2015,430.566986,0.000151,0.001751,3.48017,0.470402,1,48.001999,22.75,32.959999,34.450001,2.87,49.990002
1/4/2016,433.091003,0.000144,0.001748,3.49539,0.517388,1,44.681999,22.09,32.369999,33.990002,2.77,50.119999
1/5/2016,431.959991,0.000137,0.001721,3.46967,0.499272,1.00025,44.686001,21.950001,32.889999,33.830002,2.75,49.139999
1/6/2016,429.105011,0.000135,0.001672,3.45356,0.505053,1,43.807999,21.34,31.530001,33.080002,2.51,48.639999
1/7/2016,458.048004,0.000139,0.001728,3.60414,0.492529,1,43.130001,21.1,30.280001,31.84,2.28,46.139999
1/8/2016,453.230011,0.000158,0.001681,3.56888,0.488417,1,42.200001,20.809999,29.629999,31.51,2.14,45.880001
1/11/2016,448.428009,0.000171,0.001739,3.55662,0.482049,1,41.57,20.93,29.68,32.060001,2.34,46.07
1/12/2016,435.690002,0.00018,0.001743,3.49368,0.490113,1,41.993999,20.75,30.18,32.68,2.39,46.52
1/13/2016,432.371002,0.000177,0.001824,3.47602,0.484302,1.00045,40.062,20.48,29.26,31.91,2.25,46.099998
1/14/2016,430.306,0.000175,0.001914,3.46599,0.486483,1,41.236,21.82,28.67,32.740002,2.21,47.73
1/15/2016,364.330994,0.000149,0.001737,2.99678,0.428456,1,40.998001,21.1,27.110001,29.76,2.03,45.82
1/19/2016,380.148987,0.000148,0.001826,3.01744,0.545904,1,40.944,21.66,27.33,29.799999,1.95,46.09
1/20/2016,420.230011,0.000168,0.001821,3.38853,0.535095,1,39.740002,21.09,27.48,29.59,1.8,45.93
1/21/2016,410.261993,0.000163,0.001738,3.22078,0.549362,1,39.993999,21.33,27.799999,29.66,2.09,47.049999
1/22/2016,382.492004,0.000168,0.001704,3.07657,0.536995,1.00007,40.509998,21.93,28.450001,29.93,2.02,48.07
1/25/2016,391.726013,0.000212,0.001709,3.12728,0.581354,1.00001,39.276001,21.790001,28.42,29.6,2.12,47.580002
1/26/2016,392.153015,0.000356,0.001901,3.15482,0.584982,1,38.712002,21.59,28.700001,29.940001,2.07,48.52
1/27/2016,394.971985,0.000455,0.002235,3.28745,0.61087,1,37.613998,21.68,28.360001,29.809999,2.13,47.529999
1/28/2016,380.289001,0.000344,0.001908,3.12016,0.563129,0.999999,37.939999,21.629999,28.049999,29.969999,2.08,43.59
1/29/2016,379.473999,0.000316,0.001888,3.11138,0.51825,0.999978,38.240002,22.35,29.290001,31.02,2.2,45.34
2/1/2016,373.056,0.00027,0.001792,3.07724,0.497962,0.999969,39.388,22.459999,29.299999,30.82,2.14,46.110001
2/2/2016,374.447998,0.000262,0.001796,3.07587,0.501037,1,36.556,22.559999,28.059999,29.799999,1.99,43.150002
2/3/2016,369.949005,0.000265,0.001807,3.04753,0.491974,1,34.695999,22.92,28.200001,29.34,2.07,44.73
