Date,bitcoin,ethereum,cardano,doge,bitcoin.cash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
12/18/2017,19114.19922,794.64502,0.518198,0.006433,2196.639893,0.276283,0.434907,5.61585,358.335999,381.511993,0.395567,1.01302,67.774002,39.400002,197.899994,46.259998,10.98,65.379997
12/19/2017,17776.69922,826.822998,0.531273,0.005666,2805.889893,0.26431,0.439356,5.79233,350.252991,377.235992,0.375701,1.01068,66.220001,39.34,196.110001,47.040001,10.95,64.5
12/20/2017,16624.59961,819.085999,0.486151,0.006661,3923.070068,0.252386,0.372796,5.17621,314.621002,469.197998,0.376895,1.00018,65.795998,39.439999,196.800003,47.560001,10.98,64.599998
12/21/2017,15802.90039,821.062988,0.477851,0.007425,3267.169922,0.2572,0.424287,5.18001,317.462006,417.980011,0.370376,1.00921,66.332001,39.23,195.889999,46.759998,10.89,64.389999
12/22/2017,13831.79981,674.859985,0.40715,0.006054,2696.689941,0.216717,0.426878,4.33615,264.932007,346.113007,0.302083,1.01795,65.040001,39.630001,195.270004,46.700001,10.54,64.730003
12/26/2017,16099.79981,773.835999,0.428465,0.009411,3108.889893,0.226018,0.521421,9.02942,286.503998,381.542999,0.404879,1.00407,63.458,38.950001,197.440002,46.080002,10.46,64.300003
12/27/2017,15838.5,762.84198,0.414176,0.008872,2889.52002,0.229224,0.505501,10.107,272.174011,421.848999,0.406465,1.00366,62.327999,39.080002,197.169998,46.110001,10.53,64.540001
12/28/2017,14606.5,737.02301,0.407701,0.008486,2566.639893,0.223544,0.506697,9.32141,249.929993,378.903992,0.381722,1.00659,63.071999,39.740002,197.399994,46.220001,10.55,64.379997
12/29/2017,14656.2002,753.59198,0.529299,0.009391,2779.949951,0.322941,0.486348,8.8076,245.501999,377.365997,0.381674,1.00564,62.27,39.650002,193.5,46.16,10.28,64.019997
1/2/2018,14982.09961,884.44397,0.782587,0.009145,2711,0.564766,0.673712,8.83777,255.684006,383.416992,0.5633,1.0049,64.106003,41.02,199.350006,46.849998,10.98,65.199997
1/3/2018,15201,962.719971,1.07966,0.00932,2608.689941,0.896227,0.681167,9.53588,245.367996,412.062988,0.651219,1.01344,63.450001,41.709999,212.470001,45.259998,11.55,65.940002
1/4/2018,15599.2002,980.921997,1.11412,0.009644,2430.179932,0.72405,0.984368,9.21399,241.369995,403.048004,0.634125,1.00253,62.924,41.490002,213.589996,44.43,12.12,66.029999
1/5/2018,17429.5,997.719971,0.999559,0.012167,2584.47998,0.662712,0.907486,14.9172,249.270996,384.936005,0.552881,0.998634,63.316002,42.459999,215.399994,44.740002,11.88,66.470001
