Date,bitcoin,ethereum,cardano,doge,bitcoin-cash,stellar,chainlink,biance,little,monero,bat,tether
18/8/2015,211.078995,1.08705,0,0.000134,0,0.001878,0,0,3.46971,0.493284,0,1
19/8/2015,226.684006,1.25886,0,0.000131,0,0.00181,0,0,3.47782,0.534101,0,1
20/8/2015,235.350006,1.46492,0,0.000139,0,0.00203,0,0,3.60509,0.597797,0,1
21/8/2015,232.569,1.39529,0,0.000145,0,0.001995,0,0,3.56502,0.568307,0,1
22/8/2015,230.389999,1.37923,0,0.000137,0,0.002001,0,0,3.51123,0.553084,0,1
23/8/2015,228.169006,1.35259,0,0.000138,0,0.001959,0,0,3.39447,0.544585,0,1
24/8/2015,210.494995,1.23127,0,0.000128,0,0.001892,0,0,2.99474,0.434871,0,1
25/8/2015,221.608994,1.14019,0,0.000129,0,0.001855,0,0,2.9372,0.490286,0,1
26/8/2015,225.830994,1.15998,0,0.000133,0,0.002035,0,0,2.94651,0.496679,0,1
27/8/2015,224.768997,1.1477,0,0.000129,0,0.002005,0,0,2.86605,0.465475,0,1
28/8/2015,231.395996,1.19138,0,0.000132,0,0.002354,0,0,2.90629,0.481627,0,1
29/8/2015,229.779999,1.18255,0,0.000131,0,0.002577,0,0,2.87651,0.47655,0,1
30/8/2015,228.761002,1.31927,0,0.000129,0,0.002363,0,0,2.8484,0.459009,0,1
31/8/2015,230.056,1.35824,0,0.000129,0,0.002479,0,0,2.84207,0.467238,0,1
1/9/2015,228.121002,1.35161,0,0.000127,0,0.002435,0,0,2.82001,0.458517,0,1
2/9/2015,229.283997,1.29479,0,0.000126,0,0.002423,0,0,2.79545,0.468083,0,1
3/9/2015,227.182999,1.26493,0,0.000122,0,0.002377,0,0,2.63314,0.45929,0,1
4/9/2015,230.298004,1.27441,0,0.000125,0,0.002321,0,0,2.70112,0.467874,0,1
5/9/2015,235.018997,1.33881,0,0.00013,0,0.002476,0,0,2.91954,0.481594,0,1
6/9/2015,239.839996,1.29583,0,0.000132,0,0.002527,0,0,3.04807,0.505111,0,1
7/9/2015,239.847,1.24665,0,0.00013,0,0.002452,0,0,3.0459,0.499452,0,1
8/9/2015,243.606995,1.24243,0,0.000131,0,0.0023,0,0,3.04738,0.517402,0,1
9/9/2015,238.167999,1.20651,0,0.00013,0,0.002195,0,0,2.92392,0.506011,0,1
10/9/2015,238.477005,1.16577,0,0.000129,0,0.002208,0,0,2.94936,0.497247,0,1
11/9/2015,240.106995,0.982978,0,0.000131,0,0.002231,0,0,2.95746,0.495325,0,1
12/9/2015,235.229004,1.03874,0,0.000127,0,0.002239,0,0,2.82555,0.465473,0,1
13/9/2015,230.511993,0.936003,0,0.000126,0,0.002158,0,0,2.81594,0.462865,0,1
14/9/2015,230.643997,0.875622,0,0.000125,0,0.002139,0,0,2.84465,0.482289,0,1
15/9/2015,230.304001,0.94441,0,0.000126,0,0.002183,0,0,2.82319,0.502379,0,1
16/9/2015,229.091003,0.907175,0,0.000124,0,0.002159,0,0,2.80298,0.509974,0,1
17/9/2015,229.809998,0.874231,0,0.000125,0,0.002228,0,0,2.90637,0.494782,0,1
18/9/2015,232.975006,0.853685,0,0.000127,0,0.002243,0,0,2.95696,0.50044,0,1
19/9/2015,231.492996,0.882391,0,0.000126,0,0.002295,0,0,2.87358,0.496418,0,1
