date,ethereum,stellar,chainlink,monero,tsmc,nvidia,amd
2/8/2018,817.807007,0.363565,0.41108,247.223999,40.360001,217.520004,11.22
2/9/2018,883.86499,0.401068,0.435194,260.433014,41.470001,232.080002,11.31
2/12/2018,868.70697,0.395649,0.490282,247.567993,42.529999,228.029999,11.68
2/13/2018,845.257996,0.410614,0.570759,234.688995,42.380001,232.630005,11.78
2/14/2018,923.560974,0.453888,0.568253,276.661987,43.049999,241.419998,12.2
2/15/2018,936.976013,0.453556,0.565251,303.251007,43.52,246.5,12.19
2/16/2018,944.210022,0.455446,0.639628,296.47699,43.48,243.839996,11.82
2/20/2018,895.370972,0.402289,0.699926,304.395996,43.740002,249.080002,12.02
2/21/2018,849.971008,0.396765,0.653669,322.606995,42.889999,241.509995,11.72
2/22/2018,812.844971,0.366447,0.601923,282.76001,42.389999,242.149994,11.84
2/23/2018,864.189026,0.381985,0.674791,285.708008,43.900002,245.929993,12.07
2/26/2018,869.315002,0.364579,0.691446,293.608002,44.41,246.580002,12.42
2/27/2018,878.265015,0.362051,0.723957,302.540985,43.619999,246.059998,12.53
2/28/2018,855.198975,0.333916,0.661447,285.696991,43.349998,242,12.11
3/1/2018,872.200012,0.339314,0.663065,314.035004,42.720001,232.210007,11.9
3/2/2018,856.853027,0.320107,0.652742,344.729004,43.009998,236.539993,11.81
3/5/2018,853.684021,0.352031,0.586738,373.247009,43.490002,235.649994,11.91
3/6/2018,816.950989,0.337911,0.53387,346.39801,43.540001,242.160004,11.76
3/7/2018,752.830994,0.329103,0.521148,339.14801,44.200001,241.839996,12.24
3/8/2018,704.596008,0.311938,0.486422,278.636993,43.799999,241.179993,11.97
3/9/2018,728.916016,0.311859,0.480877,288.089996,44.59,245.330002,11.7
3/12/2018,699.830994,0.291765,0.510198,259.421997,45.220001,249.759995,11.52
3/13/2018,690.827026,0.290193,0.563841,248.067993,44.990002,247.710007,11.64
3/14/2018,614.291016,0.248689,0.443609,215.559998,45.150002,248.740005,11.36
3/15/2018,611.304016,0.240655,0.419737,213.311005,45.310001,249.339996,11.46
3/16/2018,601.666016,0.229991,0.42442,215.703003,44.970001,250.479996,11.47
3/19/2018,556.726013,0.250226,0.381644,216.772995,44.599998,241,11.43
3/20/2018,557.174988,0.267968,0.391713,223.737,44.830002,249.580002,11.11
3/21/2018,561.731995,0.254636,0.445421,218.632996,44.700001,248.559998,11.26
3/22/2018,539.702026,0.243212,0.419292,212.710007,43.689999,241.850006,10.91
3/23/2018,539.619019,0.236147,0.40914,213.914993,42.580002,232.970001,10.63
3/26/2018,489.950989,0.228861,0.371496,197.175003,44.27,244.479996,10.44
3/27/2018,450.115997,0.216033,0.342625,187.929993,43.290001,225.520004,10
3/28/2018,446.278992,0.219251,0.351367,199.158997,42.689999,221.350006,9.81
3/29/2018,385.967987,0.190819,0.280161,176.862,43.759998,231.589996,10.05
4/2/2018,386.424988,0.224878,0.273684,177.507004,42.5,221.050003,9.53
4/3/2018,416.893005,0.235691,0.295473,189.535004,43.48,225.350006,9.55
4/4/2018,380.542999,0.204108,0.290161,170.100998,43.939999,226.240005,9.77
4/5/2018,383.231995,0.19794,0.286925,173.309006,43.32,221.380005,10.02
4/6/2018,370.285004,0.193317,0.275062,162.003998,42.419998,214.25,9.61
4/9/2018,398.526001,0.197333,0.311528,167.065002,43.07,215.410004,9.53
4/10/2018,414.243011,0.199344,0.355836,165.570007,43.580002,227.910004,9.98
4/11/2018,430.540009,0.212337,0.359287,169.160995,43.380001,226.240005,9.82
4/12/2018,492.94101,0.24212,0.386811,191.944,43.849998,234.600006,10.08
4/13/2018,492.734985,0.24629,0.381543,188.867004,42.650002,231.5,9.93
4/16/2018,511.147003,0.284156,0.409538,194.100006,42.869999,231.490005,10.09
4/17/2018,502.894012,0.300202,0.416794,195.751007,42.310001,237.539993,10.52
4/18/2018,524.789001,0.351544,0.44629,228.345001,41.919998,236.369995,10.36
4/19/2018,567.888977,0.36612,0.482795,238.606003,39.529999,229.039993,10.11
4/20/2018,615.718018,0.391165,0.481416,271.981995,38.950001,228.710007,9.99
4/23/2018,642.547974,0.372128,0.492385,283.299988,38.75,223.880005,10.04
4/24/2018,708.15802,0.40067,0.536824,296.036011,38.75,221.199997,10.09
4/25/2018,615.416016,0.339517,0.434367,257.140991,38.169998,216.660004,9.71
4/26/2018,662.809021,0.387556,0.490148,268.270996,38.169998,225.220001,11.04
4/27/2018,647.031982,0.391085,0.452005,251.876007,38.169998,226.330002,11.11
4/30/2018,669.924011,0.424659,0.544691,242.455994,38.450001,224.899994,10.88
5/1/2018,673.612976,0.439733,0.550401,240.259995,38.93,227.139999,11.13
5/2/2018,687.148987,0.439227,0.564701,249.664001,37.75,226.309998,10.97
5/3/2018,779.54303,0.437379,0.567669,245.979004,38.099998,232.990005,10.93
5/4/2018,785.624023,0.43114,0.582583,241.526993,38.59,239.059998,11.28
5/7/2018,753.724976,0.395702,0.573018,233.070999,38.450001,248.679993,11.59
5/8/2018,752.856995,0.386371,0.552857,223.354004,39.18,250.399994,11.61
5/9/2018,752.275024,0.37797,0.539512,227.518997,39.349998,255.779999,11.95
5/10/2018,727.276978,0.353962,0.526373,218.222,39.77,260.130005,12.13
5/11/2018,679.585999,0.314252,0.467844,197.740005,39.91,254.529999,11.95
5/14/2018,730.549011,0.36968,0.516912,215.042999,39.950001,255.360001,12.23
5/15/2018,708.870972,0.348445,0.504004,205.169998,39.299999,245.559998,12.45
5/16/2018,707.049988,0.334677,0.480891,199.209,39.790001,246.009995,12.82
5/17/2018,672.656982,0.313497,0.444447,192.992996,38.959999,247.710007,12.82
5/18/2018,694.367004,0.319488,0.456841,204.048996,38.419998,245.940002,13
5/21/2018,699.221985,0.318115,0.424356,198.738998,39.470001,244.240005,12.99
5/22/2018,647.741028,0.301084,0.376997,176.272995,39.639999,242.699997,12.98
5/23/2018,583.585022,0.280355,0.34869,171.541,39.650002,247.539993,13.1
5/24/2018,601.755005,0.291338,0.360526,171.485001,39.27,247.690002,13.41
5/25/2018,586.734009,0.288069,0.342848,164.716995,39.299999,249.279999,13.54
5/29/2018,565.388,0.282845,0.351257,157.574997,38.16,248.589996,13.36
5/30/2018,559.590027,0.277747,0.335834,155.231995,38.34,252.990005,13.82
5/31/2018,577.64502,0.296652,0.344773,155.520996,38.700001,252.190002,13.73
6/1/2018,580.04303,0.290022,0.349503,157.537003,39.200001,257.619995,14.4
6/4/2018,592.984985,0.292158,0.340509,160.093994,39.970001,264.850006,14.85
6/5/2018,609.302979,0.294313,0.336191,167.194,39.540001,265.070007,14.85
6/6/2018,607.124023,0.298269,0.329864,164.613998,39.560001,265.149994,15.67
6/7/2018,605.187012,0.294206,0.30677,163.906006,39.52,262.899994,14.89
