date,bitcoin,doge,little,tsmc,nvidia,intel,qualcom
10/13/2015,249.507996,0.000121,3.17974,21.940001,26.4,32.040001,57.509998
10/14/2015,251.988998,0.00012,3.14418,22.34,27.360001,32.799999,58.630001
10/15/2015,254.320007,0.00012,3.10489,21.950001,27.43,32.75,59.259998
10/16/2015,262.868988,0.000121,3.10735,22.16,27.860001,33.040001,59.91
10/19/2015,263.437012,0.000119,3.04797,22.23,27.809999,33.59,59.099998
10/20/2015,269.463013,0.000118,3.0926,22.309999,27.77,33.439999,59
10/21/2015,266.272003,0.000117,3.07515,22.219999,27.41,33.369999,58.970001
10/22/2015,274.02301,0.000118,3.11465,22.51,28.4,34.400002,60.43
10/23/2015,276.496002,0.000115,3.11154,22.469999,28.59,34.900002,60.73
10/26/2015,285.299988,0.000116,3.10443,22.16,28.459999,34.59,59.209999
10/27/2015,293.787994,0.000118,3.09455,22.200001,28.440001,34.470001,59.279999
10/28/2015,304.618011,0.000126,3.10077,22.08,28.67,34.709999,60.27
10/29/2015,313.855011,0.000141,3.78221,21.82,27.68,34.029999,60
10/30/2015,328.015015,0.000151,4.06168,21.959999,28.370001,33.860001,59.419998
11/2/2015,361.188995,0.000147,4.1649,22.1,28.700001,34.110001,60.639999
11/3/2015,403.416992,0.000156,4.5898,22.77,28.5,34.310001,60.869999
11/4/2015,411.562988,0.000149,4.23022,23.549999,28.030001,34.150002,60.259998
11/5/2015,386.354004,0.000146,3.96164,22.98,27.709999,34,51.07
11/6/2015,374.470001,0.000141,3.54801,22.82,31.549999,33.84,53.419998
11/9/2015,380.256989,0.000135,3.39662,22.959999,31.41,33.349998,52.939999
11/10/2015,336.819,0.000123,3.11515,22.51,30.809999,33.209999,52.27
11/11/2015,311.084015,0.000125,2.96939,22.58,30.51,32.860001,52.849998
11/12/2015,338.152008,0.00013,3.2787,22.24,30.4,32.400002,52.580002
11/13/2015,336.752991,0.00013,3.22599,21.889999,29.799999,32.110001,51.939999
11/16/2015,330.751007,0.000131,3.18945,22.35,30.4,32.099998,52.77
11/17/2015,335.093994,0.000133,3.20198,22.52,30.4,32.639999,52.98
11/18/2015,334.589996,0.000135,3.18551,22.52,31.030001,33.16,48
11/19/2015,326.148987,0.00013,3.13361,22.67,31.120001,34.299999,48.389999
11/20/2015,322.022003,0.000131,3.11557,22.83,31.389999,34.66,49.619999
11/23/2015,323.04599,0.00013,3.1241,22.57,30.92,34.48,48.970001
11/24/2015,320.04599,0.000128,3.10783,22.5,31.17,34.360001,49.41
11/25/2015,328.205994,0.00013,3.34444,22.559999,31.129999,34.450001,49.099998
11/27/2015,358.041992,0.000133,3.57861,22.450001,31.389999,34.459999,48.540001
11/30/2015,377.321014,0.000128,3.62122,22.76,31.719999,34.77,48.790001
12/1/2015,362.488007,0.000127,3.4349,23.280001,32.75,35.09,49.299999
12/2/2015,359.187012,0.00013,3.34225,23.190001,32.5,34.830002,51.849998
12/3/2015,361.04599,0.000129,3.37749,22.93,32.43,34.040001,51.400002
12/4/2015,363.183014,0.000129,3.36181,23.309999,33.75,34.939999,52.34
12/7/2015,395.536011,0.000133,3.64514,23.24,33.110001,34.990002,52.43
12/8/2015,415.562988,0.000136,3.68692,23.08,33.560001,34.75,49.48
12/9/2015,417.562988,0.000142,3.66903,22.73,32.709999,34.810001,48.59
12/10/2015,415.479004,0.000139,3.66394,22.65,32.98,34.77,48.57
12/11/2015,451.937988,0.00015,3.83645,22.18,32.490002,34.27,47.459999
12/14/2015,444.182007,0.000145,3.61457,22.219999,32.57,34.470001,46.830002
12/15/2015,465.321014,0.00015,3.83377,22.82,32.970001,35.18,48.02
12/16/2015,454.93399,0.00015,3.69892,23.16,33.169998,35.299999,48.07
12/17/2015,456.078003,0.000155,3.74,22.959999,32.669998,34.91,47.540001
12/18/2015,463.615997,0.000155,3.75696,22.93,32.139999,33.869999,47.43
12/21/2015,438.639008,0.000143,3.45869,22.950001,32.900002,34.240002,48.759998
12/22/2015,436.571991,0.000142,3.41953,23.059999,32.93,34.73,49.07
12/23/2015,442.401001,0.000147,3.57807,23.08,33.060001,35,49.040001
12/24/2015,454.984985,0.000147,3.644,23.15,33.169998,34.98,49.549999
12/28/2015,422.278992,0.000139,3.46603,23.01,33.139999,34.93,49.580002
12/29/2015,432.983002,0.000155,3.50026,23.08,33.68,35.439999,50.880001
12/30/2015,426.619995,0.000153,3.45914,22.879999,33.389999,34.990002,50.41
12/31/2015,430.566986,0.000151,3.48017,22.75,32.959999,34.450001,49.990002
1/4/2016,433.091003,0.000144,3.49539,22.09,32.369999,33.990002,50.119999
1/5/2016,431.959991,0.000137,3.46967,21.950001,32.889999,33.830002,49.139999
1/6/2016,429.105011,0.000135,3.45356,21.34,31.530001,33.080002,48.639999
1/7/2016,458.048004,0.000139,3.60414,21.1,30.280001,31.84,46.139999
1/8/2016,453.230011,0.000158,3.56888,20.809999,29.629999,31.51,45.880001
1/11/2016,448.428009,0.000171,3.55662,20.93,29.68,32.060001,46.07
1/12/2016,435.690002,0.00018,3.49368,20.75,30.18,32.68,46.52
1/13/2016,432.371002,0.000177,3.47602,20.48,29.26,31.91,46.099998
1/14/2016,430.306,0.000175,3.46599,21.82,28.67,32.740002,47.73
1/15/2016,364.330994,0.000149,2.99678,21.1,27.110001,29.76,45.82
