date,bitcoin,bcash,biance,little,tesla,tsmc,amd,qualcom
9/14/2020,10680.83789,226.264236,31.178642,49.090122,419.619995,80.5,77.900002,113.459999
9/15/2020,10796.95117,235.629379,27.202391,48.390099,449.76001,85.849998,78.93,116.580002
9/16/2020,10974.90527,231.771515,27.964594,47.933434,441.76001,83.129997,76.660004,114.559998
9/17/2020,10948.99023,233.167465,26.99313,48.877068,423.429993,81.910004,76.550003,114.879997
9/18/2020,10944.58594,234.208633,27.399481,48.462814,442.149994,80.230003,74.93,110.690002
9/21/2020,10462.25977,213.515656,23.267879,43.390221,449.390015,80.589996,77.940002,111.919998
9/22/2020,10538.45996,220.034225,24.10074,44.545048,424.230011,80.480003,77.699997,113.82
9/23/2020,10225.86426,208.165131,22.872679,43.042057,380.359985,77.919998,74.730003,110.57
9/24/2020,10745.54883,216.693863,24.622034,44.961006,387.790009,78.379997,75.82,112.190002
9/25/2020,10702.29004,216.659714,24.678379,46.008736,407.339996,78.879997,78.059998,114.5
9/28/2020,10721.32715,226.351013,26.984694,45.270672,421.200012,79.769997,79.480003,118.470001
9/29/2020,10848.83008,229.235947,28.852825,45.698059,419.070007,80.510002,81.769997,117.379997
9/30/2020,10787.61816,228.100922,29.330982,46.284039,429.01001,81.07,81.989998,117.68
10/1/2020,10623.33008,228.157867,27.470755,46.283146,448.160004,82.620003,84.860001,119.519997
10/2/2020,10585.16406,220.188232,27.32098,44.979713,415.089996,80.800003,81.800003,115.470001
10/5/2020,10804.00098,222.385849,28.658798,46.379387,425.679993,84.540001,86.150002,120.519997
10/6/2020,10621.66406,220.443756,27.767237,46.023781,413.980011,83.120003,84.480003,119.540001
10/7/2020,10679.13672,223.555847,27.758896,46.674709,425.299988,86.919998,86.690002,123.029999
10/8/2020,10923.62793,233.944672,27.749296,47.238403,425.920013,87.800003,86.510002,122.339996
10/14/2020,11429.50684,259.133484,30.912119,49.846489,461.299988,88.599998,84.209999,129.880005
10/15/2020,11495.34961,261.384735,31.295864,49.490372,448.880005,88.150002,83.129997,128.580002
10/16/2020,11322.12305,250.325409,29.9949,47.692875,439.670013,86.699997,83.169998,129.029999
10/19/2020,11742.03711,250.709793,29.925068,48.098915,430.829987,87.559998,82,128.419998
10/20/2020,11916.33496,242.845551,28.803444,47.051029,421.940002,88.260002,81.559998,128.300003
10/21/2020,12823.68945,258.514587,29.772354,53.04533,422.640015,87.639999,79.199997,128.550003
10/22/2020,12965.8916,266.472626,30.658192,54.267277,425.790009,88.209999,79.419998,128.380005
10/23/2020,12931.53906,270.314667,30.633961,55.238689,420.630005,88.309998,81.959999,128.880005
10/26/2020,13075.24805,259.782593,31.15456,56.745777,420.279999,86.730003,82.230003,126.199997
10/27/2020,13654.21875,264.539429,31.638721,57.816051,424.679993,86.709999,78.879997,125.910004
10/28/2020,13271.28516,268.489716,30.363506,55.742512,406.019989,83.849998,76.400002,121.580002
10/29/2020,13437.88281,267.056061,29.842478,54.765854,410.829987,84.889999,78.019997,126.440002
10/30/2020,13546.52246,261.828125,28.508411,53.835033,388.040009,83.870003,75.290001,123.360001
11/2/2020,13550.48926,257.199707,27.88393,53.817482,400.51001,85.709999,74.699997,123.970001
11/3/2020,13950.30078,244.146835,26.85705,53.819622,423.899994,87.690002,76.580002,125.449997
11/4/2020,14133.70703,241.130096,26.931515,54.499104,420.980011,89.449997,81.349998,128.970001
11/5/2020,15579.84863,249.547318,27.675859,58.678497,438.089996,90.43,83,145.410004
11/6/2020,15565.88086,257.720184,29.018,63.131111,429.950012,91.410004,85.879997,145.009995
11/9/2020,15332.31543,263.981323,28.018021,59.363884,421.26001,89.029999,83.120003,142.610001
11/10/2020,15290.90234,257.351807,28.193342,58.237343,410.359985,87.660004,77.989998,140.110001
11/11/2020,15701.33984,257.12149,27.956179,59.51503,417.130005,90.879997,81.279999,147.690002
11/12/2020,16276.34375,259.821533,27.614807,60.365379,411.76001,89.82,81.839996,143.910004
11/13/2020,16317.80859,259.171783,28.182173,65.457199,408.5,93.220001,81.43,144.259995
11/16/2020,16716.11133,250.139297,28.06411,71.326248,408.089996,99.269997,83.730003,149.070007
11/17/2020,17645.40625,255.288528,28.530581,75.852341,441.609985,95.709999,83.360001,148.740005
11/18/2020,17804.00586,247.126053,28.076162,73.694939,486.640015,96.93,82.540001,147.050003
11/19/2020,17817.08984,246.270081,28.094105,81.68367,499.269989,96.610001,85.540001,147.529999
11/20/2020,18621.31445,258.854889,28.891996,82.583153,489.609985,95.330002,84.639999,146.029999
11/23/2020,18364.12109,323.025818,30.965368,89.039314,521.849976,98.129997,85.309998,143.820007
11/24/2020,19107.46484,345.605133,33.80315,89.205376,555.380005,96.639999,85.07,145.929993
11/25/2020,18732.12109,312.777557,31.34296,81.880127,574,97.489998,86.709999,144.080002
11/27/2020,17108.40234,264.955322,28.475187,69.123871,585.76001,98.739998,87.190002,143.830002
11/30/2020,19625.83594,316.420197,31.392786,87.574631,567.599976,97.019997,92.660004,147.169998
12/1/2020,18802.99805,288.135834,30.108303,85.435768,584.76001,100.860001,92.629997,151.259995
12/2/2020,19201.0918,294.251068,30.297361,88.856514,568.820007,99.540001,93.739998,149.979996
12/3/2020,19445.39844,292.295349,30.70443,89.098969,593.380005,99.5,92.309998,149.910004
12/4/2020,18699.76563,280.708069,29.072208,80.017075,599.039978,103.730003,94.040001,157.619995
12/7/2020,19191.63086,283.894714,29.378136,83.624062,641.76001,106.389999,94.07,158.020004
12/8/2020,18321.14453,267.548462,27.636307,76.748657,649.880005,105.639999,92.919998,158.800003
12/9/2020,18553.91602,268.709961,28.129305,77.41098,604.47998,104.419998,89.830002,156.020004
12/10/2020,18264.99219,265.980682,27.69619,74.829559,627.070007,104.230003,91.660004,155.75
12/11/2020,18058.9043,259.331024,27.361004,72.087334,609.98999,104.029999,91.650002,144.279999
12/14/2020,19246.64453,276.553101,30.029577,82.363159,639.830017,103.559998,94.779999,146.289993
12/15/2020,19417.07617,288.394379,29.547283,81.400673,633.25,105.089996,97.120003,148.360001
12/16/2020,21310.59766,311.419037,30.490194,92.789688,622.77002,105.199997,96.849998,149.740005
12/17/2020,22805.16211,310.301575,30.184134,100.959572,655.900024,103.900002,96.839996,149.529999
12/18/2020,23137.96094,312.779449,30.93836,109.384506,695,104.279999,95.919998,147.419998
12/21/2020,22803.08203,314.488922,32.269527,105.005394,649.859985,104.830002,93.230003,146.800003
12/22/2020,23783.0293,323.886505,33.482948,113.680367,640.340027,103.940002,93.160004,146.339996
12/23/2020,23241.3457,274.148407,31.097898,101.817062,645.97998,103.760002,91.550003,146.960007
12/24/2020,23735.94922,296.282959,32.500591,111.565399,661.77002,105.970001,91.809998,148.789993
12/28/2020,27084.80859,362.092041,35.844559,130.050339,663.690002,106.150002,91.599998,147.740005
12/29/2020,27362.4375,353.090637,38.952831,129.040802,665.98999,105.559998,90.620003,148.490005
12/30/2020,28840.95313,358.808014,38.136299,129.46608,694.780029,108.900002,92.290001,149.949997
12/31/2020,29001.7207,343.052643,37.376034,124.690323,705.669983,109.040001,91.709999,152.339996
1/4/2021,31971.91406,407.93692,40.926353,154.807327,729.77002,111.699997,92.300003,148.5
1/5/2021,33992.42969,419.768127,41.7346,158.594772,735.109985,112.769997,92.769997,152.429993
1/6/2021,36824.36328,454.484131,42.165955,169.016922,755.97998,115.610001,90.330002,151.190002
1/7/2021,39371.04297,449.568726,43.44949,169.615952,816.039978,121.43,95.160004,155.699997
1/8/2021,40797.60938,441.058228,42.395317,173.279877,880.02002,118.690002,94.580002,156.639999
1/11/2021,35566.65625,479.587341,38.371361,139.252228,811.190002,122.599998,97.25,156.110001
1/12/2021,33922.96094,450.279663,38.11161,132.63591,849.440002,123,95.360001,154.449997
1/13/2021,37316.35938,495.78476,40.135933,147.421341,854.409973,119.230003,91.779999,157.419998
1/14/2021,39187.32813,526.329529,41.793682,152.084579,845,126.449997,90.790001,160.850006
1/15/2021,36825.36719,492.589844,40.91898,144.237549,826.159973,125.230003,88.209999,157.089996
1/19/2021,36069.80469,511.072266,42.785534,153.487427,844.549988,131.300003,89.449997,163.770004
1/20/2021,35547.75,499.324493,42.606899,149.931427,850.450012,130.639999,88.75,164.600006
1/21/2021,30825.69922,419.585144,38.64584,130.133499,844.98999,134.160004,91.529999,164.75
1/22/2021,33005.76172,441.526489,40.857571,137.271454,846.640015,129.139999,92.790001,162.419998
1/25/2021,32366.39258,433.80249,41.623703,137.444199,880.799988,130.520004,94.129997,164.399994
1/26/2021,32569.84961,428.044342,41.694736,134.755264,883.090027,126.650002,94.709999,162.550003
1/27/2021,30432.54688,378.030151,40.994877,122.949471,864.159973,121.739998,88.839996,153.669998
1/28/2021,31649.60547,391.798309,42.55307,130.591675,835.429993,125.830002,87.519997,155.550003
1/29/2021,34316.38672,407.503296,42.852348,135.012573,793.530029,121.519997,85.639999,156.279999
2/1/2021,33537.17578,414.020447,51.607697,131.951935,839.809998,126.660004,87.660004,161.580002
2/2/2021,35510.28906,430.151428,51.056404,142.506973,872.789978,128.440002,88.860001,164.779999
2/3/2021,37472.08984,444.846069,52.242638,155.61203,854.690002,127.5,87.889999,162.300003
2/4/2021,36926.06641,420.819641,55.925125,145.148193,849.98999,128.149994,87.839996,147.970001
2/5/2021,38144.30859,446.458893,67.845566,154.852219,852.22998,127.779999,87.900002,145.839996
2/8/2021,46196.46484,483.704132,79.831543,167.219055,863.419983,132.550003,91.470001,147.380005
2/9/2021,46481.10547,513.532715,107.899277,182.114471,849.460022,132.679993,90.910004,146.110001
2/10/2021,44918.18359,494.967773,129.737152,182.174393,804.820007,133.690002,92.349998,145.5
2/11/2021,47909.33203,529.737366,124.434258,184.496002,811.659973,139.160004,92.660004,145.559998
2/12/2021,47504.85156,577.604309,136.948395,197.231705,816.119995,138.059998,93.769997,147.979996
2/16/2021,49199.87109,707.291504,130.056656,210.54657,796.219971,140.050003,91.459999,147.160004
2/17/2021,52149.00781,716.698242,164.670105,236.973526,798.150024,136.270004,89.940002,144.75
2/18/2021,51679.79688,705.988464,195.932632,226.869553,787.380005,134.630005,88.639999,143.910004
2/19/2021,55888.13281,720.821899,332.616028,236.67601,781.299988,136.660004,89.580002,144.940002
2/22/2021,54207.32031,630.349854,267.509796,208.106796,714.5,133.570007,85.370003,139.460007
2/23/2021,48824.42578,513.187378,230.994247,176.934921,698.840027,129.100006,84.739998,137.119995
2/24/2021,49705.33203,527.041382,254.359131,181.378494,742.02002,132.300003,86.940002,141.100006
2/25/2021,47093.85156,496.912659,233.885956,178.90184,682.219971,126,82.419998,135.529999
